nombreE,html,nroDeJuegos
Indie,492,54164
Action,19,36471
Adventure,21,32679
Casual,597,31033
Simulation,599,21179
Strategy,9,20033
RPG,122,18250
Early Access,493,7463
Singleplayer,4182,25333
Free to Play,113,3705
2D,3871,12862
Violent,4667,6112
Sports,701,4595
Massively Multiplayer,128,2928
Atmospheric,4166,10225
Multiplayer,3859,8041
Puzzle,1664,9192
Racing,699,3674
Gore,4345,5133
Story Rich,1742,8228
Nudity,6650,3547
Fantasy,1684,7107
Sexual Content,12095,3278
Anime,4085,5340
Great Soundtrack,1756,7130
Pixel Graphics,3964,6696
Funny,4136,6031
First-Person,3839,5964
Colorful,4305,5689
3D,4191,4899
Sci-fi,3942,5766
Cute,4726,5446
Horror,1667,5241
Shooter,1774,5401
Arcade,1773,5730
VR,21978,5309
Difficult,4026,5847
Exploration,3834,5206
Retro,4004,5318
Family Friendly,5350,5061
Co-op,1685,4279
Survival,1662,4204
Platformer,1625,5306
Open World,1695,4342
Relaxing,1654,4183
Comedy,1719,3688
Female Protagonist,7208,4249
FPS,1663,3518
Third Person,1697,3354
Online Co-Op,3843,3
Visual Novel,3799,3675
Action-Adventure,4106,3230
Design & Illustration,84,2006
Sandbox,3810,3164
Utilities,87,1674
Realistic,4175,2959
Physics,3968,3096
PvP,1775,2466
Choices Matter,6426,2840
Stylized,4252,2810
Turn-Based,1677,3591
Psychological Horror,1721,2467
Top-Down,4791,2828
Dark,4342,2519
Mystery,5716,2872
Space,1755,2910
Combat,3993,1679
Replay Value,4711,2669
Tactical,1708,2438
Character Customization,4747,1946
Local Multiplayer,7368,2488
Point & Click,1698,3014
Building,1643,2484
Cartoony,4195,2375
Management,12472,2613
Multiple Endings,6971,2231
Education,1036,1912
Minimalist,4094,2522
Old School,3916,2100
Controller,7481,1852
Action RPG,4231,1913
Mature,5611,1036
Survival Horror,3978,1874
2D Platformer,5379,2112
Crafting,1702,1690
Futuristic,4295,1568
PvE,6730,1334
Classic,1693,2045
Zombies,1659,1739
Side Scroller,3798,2448
Puzzle Platformer,5537,2287
Local Co-Op,3841,2027
Movie,4700,201
Magic,4057,1578
Shoot 'Em Up,4255,2145
Memes,10397,1399
Procedural Generation,5125,1775
Roguelike,1716,1919
Resource Management,8945,1550
War,1678,1620
Fast-Paced,1734,1924
Hand-drawn,6815,1894
Turn-Based Strategy,1741,1999
Cartoon,4562,1413
Web Publishing,1038,1
Medieval,4172,1524
