Titulo,Precio,Generos,Plataformas,Fecha de Salida,Desarrollador,Publisher,Rating,Valoración del usuario,Imagen,Link
The Witcher 2: Assassins of Kings (Enhanced Edition) ,2.45,Action|Adventure|RPG,Windows|Mac|Linux,"May 17, 2013",CD Projekt RED,BANDAI NAMCO Entertainment,"",4.41/5,https://cdn-products.eneba.com/resized-products/ugtpscu5ezak7i9t5r0x_350x200_1x-0.jpg,https://www.eneba.com/us/gog-the-witcher-2-assassins-of-kings-enhanced-edition-gog-com-key-global
Little Nightmares ,0.44,Puzzle|Platform|Adventure,Windows,"April 28, 2017",Tarsier Studios,BANDAI NAMCO Entertainment,Rates 16+,4.51/5,https://cdn-products.eneba.com/resized-products/bvgcjfo6tu1qrqlonakl_350x200_1x-0.jpg,https://www.eneba.com/us/steam-little-nightmares-steam-key-global
PayDay 2 ,3.84,Action|FPS / TPS|RPG,Windows|Linux,"August 13, 2013",OVERKILL Software,Starbreeze Publishing AB,Rates 18+ (Mature),4.40/5,https://cdn-products.eneba.com/resized-products/M1lNOEB_350x200_1x-0.jpg,https://www.eneba.com/us/steam-payday-2-steam-key-global
Ori and the Blind Forest (Definitive Edition) ,8.27,Action|Indie|Puzzle|Platform|Adventure,Windows,"April 27, 2016",Moon Studios,Microsoft Studios,Rates 7+,4.69/5,https://cdn-products.eneba.com/resized-products/n624hqsqxfwqjn4hxvfq_350x200_1x-0.jpg,https://www.eneba.com/us/steam-ori-and-the-blind-forest-definitive-edition-steam-key-global
Green Hell ,9.3,Simulation|Educational,Windows,"September 5, 2019",Creepy Jar,Creepy Jar,"",4.46/5,https://cdn-products.eneba.com/resized-products/uiAcncxmFfJ3JRqLjaW3EemyTDu1rK1f7QMoflzY6B4_350x200_1x-0.jpg,https://www.eneba.com/us/steam-green-hell
Dead by Daylight ,12.6,Action,Windows,"June 14, 2016",Behaviour Interactive,Behaviour Interactive,Rates 18+ (Mature),4.52/5,https://cdn-products.eneba.com/resized-products/PPOqVG3kxWxx-D0e3NCIrXK2uNedzePrBuhNSZkzNU4_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-dead-by-daylight-steam-key-global
The Suicide of Rachel Foster ,23.28,Indie|Adventure,Windows,"February 19, 2020",ONE-O-ONE GAMES,Daedalic Entertainment,"",4.57/5,https://cdn-products.eneba.com/resized-products/PjAq6mhtC4ox2Lyulcb5ZCiSnJKm5JCsRG33d20mRf0_350x200_1x-0.jpeg,https://www.eneba.com/us/other-the-suicide-of-rachel-foster
Star Wars: Empire At War - Gold Pack ,5.19,Strategy,Windows,"May 25, 2013",Petroglyph,LucasArts,Rates 12+,4.56/5,https://cdn-products.eneba.com/resized-products/v4O9XAL_350x200_1x-0.jpg,https://www.eneba.com/us/steam-star-wars-empire-at-war-gold-pack-steam-key-emea
Blasphemous ,17.13,Action|Indie|Adventure,Windows,"September 10, 2019",The Game Kitchen,Team17 Digital Ltd,Rates 16+,4.69/5,https://cdn-products.eneba.com/resized-products/AY7bR9NoBu-qL6dMkiiWCaMRhaNi8U2l5mhObqCha3Q_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-blasphemous-steam-key-global
Middle-earth: Shadow of War ,3.19,Action|Adventure|RPG,Windows,"October 10, 2017",Monolith Productions,Warner Bros. Interactive Entertainment,Rates 18+ (Mature),4.44/5,https://cdn-products.eneba.com/resized-products/xjqnuckrivp1iwvpneh5_350x200_1x-0.jpg,https://www.eneba.com/us/steam-middle-earth-shadow-of-war-steam-key-global
"Warhammer 40,000: Dawn of War II Master Collection 2015 ",7.45,Strategy,Windows,"January 2, 2013",Relic Entertainment,THQ Nordic,"",4.88/5,https://cdn-products.eneba.com/resized-products/UWWJJMMzjIk_atSLVWTcmbA5oPbwLGsdK5Hah8eUn-s_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-warhammer-40-000-dawn-of-war-ii-master-collection-2015-steam-key-global
