nombre,descuento,precio,fechaLanzamiento,usuarioCompraron,plataformas,resenia,bloqueoDeEdad,etiquetas,desarrollador,editor,genero,metacritic,herf,imagen,descipcion
Counter-Strike: Global Offensive,0,0,21 Aug 2012,5249348,windows / mac/ linux,"Very Positive / 88% of 5,249,348",false, FPS / Shooter / Multiplayer / Competitive / Action / Team-Based / eSports / Tactical / First-Person / PvP / Online Co-Op / Co-op / Strategy / Military / War / Difficult / Trading / Realistic / Fast-Paced / Moddable ,Valve / Hidden Path Entertainment,Valve,Action / Free to Play,83,https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/730/capsule_sm_120.jpg?t=1610576424," Counter-Strike: Global Offensive (CS: GO) expands upon the team-based action gameplay that it pioneered when it was launched 19 years ago. CS: GO features new maps, characters, weapons, and game modes, and delivers updated versions of the classic CS content (de_dust2, etc.). "
Rust,0,39.99,8 Feb 2018,"",windows / mac,"Very Positive / 85% of 432,909",true,"","","","","",https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/252490/capsule_sm_120.jpg?t=1608404151,""
Dyson Sphere Program,0,19.99,20 Jan 2021,10150,windows ,"Overwhelmingly Positive / 97% of 9,188",false, Automation / Space / Simulation / Open World / Base Building / Building / Management / Sci-fi / Resource Management / Sandbox / City Builder / Strategy / Space Sim / 3D / Third Person / Singleplayer / Early Access / Indie / Multiplayer ,Youthcat Studio,Gamera Game,Indie / Simulation / Strategy / Early Access,"",https://store.steampowered.com/app/1366540/Dyson_Sphere_Program/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/1366540/capsule_sm_120.jpg?t=1611695626," Build the most efficient intergalactic factory in space simulation strategy game Dyson Sphere Program! Harness the power of stars, collect resources, plan and design production lines and develop your interstellar factory from a small space workshop to a galaxy-wide industrial empire. "
Apex Legends™,0,0,4 Nov 2020,120845,windows ,"Very Positive / 93% of 120,812",false, Free to Play / Battle Royale / Shooter / First-Person / Multiplayer / PvP / Hero Shooter / Team-Based / Action / Character Customization / Sci-fi / Survival / Funny / Tactical / Loot / Cyberpunk / Lore-Rich / FPS / Science / Cinematic ,Respawn Entertainment,Electronic Arts,Action / Adventure / Free to Play,88,https://store.steampowered.com/app/1172470/Apex_Legends/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/1172470/capsule_sm_120.jpg?t=1610652587," Apex Legends is the award-winning, free-to-play Battle Royale team shooter from Respawn Entertainment. Master an ever-growing roster of legendary characters with powerful abilities and experience strategic squad play and innovative gameplay in the next evolution of Battle Royale. "
Sid Meier’s Civilization® VI,75%,59.99,20 Oct 2016,144846,windows / mac/ linux,"Very Positive / 83% of 99,489",false, Strategy / Turn-Based Strategy / Historical / Multiplayer / Singleplayer / Turn-Based / Grand Strategy / 4X / War / Simulation / Tactical / City Builder / Great Soundtrack / Moddable / Online Co-Op / Building / Co-op / Management / Hex Grid / Atmospheric ,Firaxis Games / Aspyr (Mac) / Aspyr (Linux),2K / Aspyr (Mac) / Aspyr (Linux),Strategy,88,https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/289070/capsule_sm_120.jpg?t=1611862077," Civilization VI offers new ways to interact with your world, expand your empire across the map, advance your culture, and compete against history’s greatest leaders to build a civilization that will stand the test of time. Play as one of 20 historical leaders including Roosevelt (America) and Victoria (England). "
The Elder Scrolls® Online,0,19.99,22 May 2017,"",windows / mac,"Very Positive / 82% of 75,542",true,"","","","","",https://store.steampowered.com/app/306130/The_Elder_Scrolls_Online/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/306130/capsule_sm_120.jpg?t=1611699837,""
Sea of Thieves,0,39.99,3 Jun 2020,93683,windows ,"Very Positive / 90% of 78,054",false, Adventure / Action / Multiplayer / Pirates / Open World / Co-op / Sailing / PvP / Online Co-Op / First-Person / Exploration / Naval / Funny / PvE / Atmospheric / Massively Multiplayer / Swordplay / Great Soundtrack / FPS / Singleplayer ,Rare Ltd,"",Action / Adventure,"",https://store.steampowered.com/app/1172620/Sea_of_Thieves/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/1172620/capsule_sm_120.jpg?t=1607007676," Sea of Thieves offers the essential pirate experience, from sailing and fighting to exploring and looting – everything you need to live the pirate life and become a legend in your own right. With no set roles, you have complete freedom to approach the world, and other players, however you choose. "
Grand Theft Auto V,0,0,13 Apr 2015,"",windows ,"Very Positive / 81% of 909,596",true,"","","","","",https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/271590/capsule_sm_120.jpg?t=1592866696,""
PLAYERUNKNOWN'S BATTLEGROUNDS,0,29.99,21 Dec 2017,1649102,windows ,"Mixed / 52% of 1,376,654",false, Survival / Shooter / Multiplayer / Battle Royale / FPS / PvP / Third-Person Shooter / Action / Online Co-Op / Tactical / Co-op / First-Person / Strategy / Early Access / Competitive / Third Person / Team-Based / Difficult / Simulation / Stealth ,"KRAFTON, Inc.","KRAFTON, Inc.",Action / Adventure / Massively Multiplayer,86,https://store.steampowered.com/app/578080/PLAYERUNKNOWNS_BATTLEGROUNDS/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/578080/capsule_sm_120.jpg?t=1608093288, PLAYERUNKNOWN'S BATTLEGROUNDS is a battle royale shooter that pits 100 players against each other in a struggle for survival. Gather supplies and outwit your opponents to become the last person standing. 
Path of Exile,0,0,23 Oct 2013,152479,windows / mac,"Very Positive / 93% of 152,467",false, Free to Play / Action RPG / Hack and Slash / RPG / Multiplayer / Massively Multiplayer / Loot / MMORPG / Action / Fantasy / Dungeon Crawler / Adventure / Online Co-Op / Co-op / Dark Fantasy / Indie / Character Customization / PvE / Inventory Management / Fishing ,Grinding Gear Games,Grinding Gear Games,Action / Adventure / Free to Play / Indie / Massively Multiplayer / RPG,86,https://store.steampowered.com/app/238960/Path_of_Exile/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/238960/capsule_sm_120.jpg?t=1610659970," You are an Exile, struggling to survive on the dark continent of Wraeclast, as you fight to earn power that will allow you to exact your revenge against those who wronged you. Created by hardcore gamers, Path of Exile is an online Action RPG set in a dark fantasy world. "
