nombre,descuento,precio,fechaLanzamiento,plataformas,resenia,bloqueoDeEdad,etiquetas,desarrollador,editor,genero,metacritic,herf,imagen,descipcion
PAYDAY 2,0,9.99,13 Aug 2013,windows / linux,"Very Positive / 88% of 303,523",true,"","","","","",https://store.steampowered.com/app/218620/PAYDAY_2/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/218620/capsule_sm_120.jpg?t=1610019973,""
Yakuza 3 Remastered,0,19.99,28 Jan 2021,windows ,Very Positive / 94% of 254,true,"","","","","",https://store.steampowered.com/app/1088710/Yakuza_3_Remastered/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/1088710/capsule_sm_120.jpg?t=1611852705,""
Horizon Zero Dawn™ Complete Edition,0,49.99,7 Aug 2020,windows ,"Mostly Positive / 78% of 31,904",false, Adventure / Open World / Female Protagonist / Action / RPG / Singleplayer / Story Rich / Post-apocalyptic / Robots / Sci-fi / Exploration / Third Person / Beautiful / Atmospheric / Great Soundtrack / Action RPG / Archery / Hunting / Dinosaurs / Multiplayer ,Guerrilla,"PlayStation Mobile, Inc.",Action / Adventure / RPG,"",https://store.steampowered.com/app/1151640/Horizon_Zero_Dawn_Complete_Edition/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/1151640/capsule_sm_120.jpg?t=1605570736, Experience Aloy’s legendary quest to unravel the mysteries of a future Earth ruled by Machines. Use devastating tactical attacks against your prey and explore a majestic open world in this award-winning action RPG! 
7 Days to Die,0,24.99,13 Dec 2013,windows / mac/ linux,"Very Positive / 86% of 108,478",false, Survival / Zombies / Voxel / Open World / Post-apocalyptic / Open World Survival Craft / Multiplayer / FPS / Action / Sandbox / Building / Simulation / Online Co-Op / Exploration / Singleplayer / Survival Horror / RPG / Procedural Generation / Character Customization / Early Access ,The Fun Pimps,The Fun Pimps Entertainment LLC,Action / Adventure / Indie / RPG / Simulation / Strategy / Early Access,"",https://store.steampowered.com/app/251570/7_Days_to_Die/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/251570/capsule_sm_120.jpg?t=1608788477," 7 Days to Die is an open-world game that is a unique combination of first person shooter, survival horror, tower defense, and role-playing games. Play the definitive zombie survival sandbox RPG that came first. Navezgane awaits! "
Mount & Blade II: Bannerlord,0,49.99,30 Mar 2020,windows ,"Very Positive / 87% of 118,972",false, Medieval / Strategy / Open World / RPG / War / Multiplayer / Sandbox / Action / Singleplayer / Simulation / Moddable / Adventure / Character Customization / Horses / Realistic / Third Person / First-Person / Historical / Great Soundtrack / Early Access ,TaleWorlds Entertainment,TaleWorlds Entertainment,Action / RPG / Simulation / Strategy / Early Access,"",https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/261550/capsule_sm_120.jpg?t=1608928062," The horns sound, the ravens gather. An empire is torn by civil war. Beyond its borders, new kingdoms rise. Gird on your sword, don your armour, summon your followers and ride forth to win glory on the battlefields of Calradia. Establish your hegemony and create a new world out of the ashes of the old. "
Hearts of Iron IV,0,39.99,6 Jun 2016,windows / mac/ linux,"Very Positive / 91% of 86,420",false, Strategy / World War II / Grand Strategy / Historical / War / Military / Alternate History / Multiplayer / Simulation / Tactical / Real-Time with Pause / RTS / Singleplayer / Diplomacy / Sandbox / Co-op / Great Soundtrack / Open World / Action / Casual ,Paradox Development Studio,Paradox Interactive,Simulation / Strategy,83,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/394360/capsule_sm_120.jpg?t=1611303499," Victory is at your fingertips! Your ability to lead your nation is your supreme weapon, the strategy game Hearts of Iron IV lets you take command of any nation in World War II; the most engaging conflict in world history. "
Spiritfarer®,25%,29.99,18 Aug 2020,windows / mac/ linux,"Overwhelmingly Positive / 96% of 5,817",false, Building / Management / Emotional / Indie / Adventure / Story Rich / Hand-drawn / Platformer / Female Protagonist / Local Co-Op / Exploration / Atmospheric / Co-op / Crafting / Funny / Simulation / Relaxing / Farming Sim / Cartoony / Fishing ,Thunder Lotus Games,Thunder Lotus Games,Adventure / Indie / Simulation,84,https://store.steampowered.com/app/972660/Spiritfarer/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/972660/capsule_sm_120.jpg?t=1611680725," Spiritfarer® is a cozy management game about dying. As ferrymaster to the deceased, build a boat to explore the world, care for your spirit friends, and guide them across mystical seas to finally release them into the afterlife. What will you leave behind? "
Risk of Rain 2,0,24.99,11 Aug 2020,windows ,"Overwhelmingly Positive / 96% of 93,583",false, Third-Person Shooter / Action Roguelike / Multiplayer / Action / Roguelite / Co-op / Looter Shooter / Loot / Roguelike / Shooter / Online Co-Op / Difficult / Survival / Third Person / Indie / Singleplayer / Soundtrack / Early Access / Great Soundtrack / Bullet Hell ,Hopoo Games,"",Action / Indie,85,https://store.steampowered.com/app/632360/Risk_of_Rain_2/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/632360/capsule_sm_120.jpg?t=1597330177," Escape a chaotic alien planet by fighting through hordes of frenzied monsters – with your friends, or on your own. Combine loot in surprising ways and master each character until you become the havoc you feared upon your first crash landing. "
Yakuza 5 Remastered,0,19.99,28 Jan 2021,windows ,Positive / 97% of 43,true,"","","","","",https://store.steampowered.com/app/1105510/Yakuza_5_Remastered/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/1105510/capsule_sm_120.jpg?t=1611852696,""
Gunfire Reborn,21%,11.99,22 May 2020,windows ,"Very Positive / 93% of 27,143",false, FPS / Co-op / Roguelite / Online Co-Op / Multiplayer / Roguelike / Indie / Early Access / Action / Adventure / RPG / Looter Shooter / Shooter / Action Roguelike / First-Person / Dungeon Crawler / Replay Value / Singleplayer / Fast-Paced / Souls-like ,Duoyi (Hong Kong) Interactive Entertainment Limited,Duoyi (Hong Kong) Interactive Entertainment Limited,Action / Adventure / Indie / RPG / Early Access,"",https://store.steampowered.com/app/1217060/Gunfire_Reborn/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/1217060/capsule_sm_120.jpg?t=1609746204," Gunfire Reborn is an adventure level-based game featured with FPS, Roguelite and RPG. Players can control heros with various abilities to experience diverse Build gameplay, use randomly dropped weapons to explore random levels. This game can be played by single player, or Co-op up to four. "
